Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1112022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,.,.,.,.,.,.,.,.,.,.
2112022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Bighead/wicket,Mourala,Sauri,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Tengara,Striped dwarf catfish,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.
3112022,Common carp,Bata,Kalmansh,Catla,Rohu,Olive barb/Barb,Sauri,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.,.,.,.
4112022,Silver carp,Common carp,Bata,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Tengara,Striped dwarf catfish,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.
5112022,Reba,Common carp,Catla,Rohu,Olive barb/Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Palwa ,Boyali/boyari,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.,.,.,.,.,.,.
6112022,Reba,Silver carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mangur,Pangas/ Silan,Patasi,Striped dwarf catfish,Rita,Boyali/boyari,Suiya,Indian spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.,.,.
7112022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
8112022,Reba,Silver carp,Grass carp,Common carp,Catla,Olive barb/Barb,Barb,Mourala,Sauri,Chanda,Mangur,Pangas/ Silan,Patasi,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
9112022,Reba,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Singhi,Pangas/ Silan,Patasi,Tengara,Palwa ,Boyali/boyari,Indian spiny eel,Lesser spiny eel,Zig-zag eel,Needle fish,Rupchanda/Pacu,.,.
10112022,Silver carp,Grass carp,Common carp,Catla,Rohu,Olive barb/Barb,Barb,Mourala,Sauri,Mangur,Pangas/ Silan,Patasi,Tengara,Rita,Boyali/boyari,Suiya,Lesser spiny eel,Zig-zag eel,Rupchanda/Pacu,.,.,.,.,.
